County,meanElev,pH,Max NDVI,Mean NDVI,mean Tmax,mean Tmin,Hargreaves PET,Precipitation,Temp_range
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Kilifi,147.5637627,6.479316464645482,0.44841999999999993,0.15804999999999997,31.524207999999998,22.976628,4.6266039999999995,586.9660916666667,8.547579999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.524207999999998,22.976628,4.6266039999999995,586.9660916666667,8.547579999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.524207999999998,22.976628,4.6266039999999995,586.9660916666667,8.547579999999996
Kericho,1971.908546,5.581916293774356,0.5965333333333334,0.3885166666666666,28.543782608695654,17.991508695652175,4.638413043478261,2050.9835166666667,10.552273913043479
Siaya,1211.014926,5.936669177236241,0.5778333333333333,0.34068888888888893,25.537911538461533,21.943434615384618,2.731488461538462,2088.4157250000003,3.5944769230769147
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.484946153846156,23.02595,4.600938461538461,586.9660916666667,8.458996153846154
Kericho,1971.908546,5.581916293774356,0.5965333333333334,0.3885166666666666,28.543782608695654,17.991508695652175,4.638413043478261,2050.9835166666667,10.552273913043479
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.484946153846156,23.02595,4.600938461538461,586.9660916666667,8.458996153846154
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Kakamega,1519.382147,5.667085342542705,0.5862833333333334,0.3605333333333333,28.16661739130435,16.722634782608697,4.717304347826087,2073.0085,11.443982608695652
Kericho,1971.908546,5.581916293774356,0.5965333333333334,0.3885166666666666,28.543782608695654,17.991508695652175,4.638413043478261,2050.9835166666667,10.552273913043479
